Gene ID,LFC,Adj p-val,Gene symbol,Gene name
106608133,2.29,1.3E-02,LOC106608133,type III iodothyronine deiodinase-like
106561658,-0.55,1.3E-02,LOC106561658,"probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"
106561770,1.13,1.3E-02,LOC106561770,ras-GEF domain-containing family member 1B-B-like
106601335,-1.76,1.4E-02,LOC106601335,solute carrier family 25 member 38-B-like
106562333,-1.48,1.4E-02,LOC106562333,vitamin D 25-hydroxylase-like
106578021,1.15,1.4E-02,LOC106578021,purine nucleoside phosphorylase-like
106568762,1.95,1.4E-02,LOC106568762,B-cell lymphoma 6 protein-like
100136924,0.78,1.4E-02,tap2b,transport-associated protein 2b
106605924,-1.75,1.6E-02,LOC106605924,farnesyl pyrophosphate synthase-like
106569872,0.58,1.7E-02,LOC106569872,semaphorin-4A-like
106591002,-0.96,1.8E-02,LOC106591002,probable ergosterol biosynthetic protein 28
106605810,0.89,1.8E-02,LOC106605810,hepatic leukemia factor-like
106605546,-3.54,1.8E-02,LOC106605546,squalene monooxygenase-like
106580424,1.56,1.9E-02,LOC106580424,B-cell linker protein-like
106587180,-0.74,1.9E-02,LOC106587180,cytochrome b5-like
106601029,0.56,2.0E-02,LOC106601029,serine/threonine-protein kinase 17A-like
106577570,0.41,2.0E-02,LOC106577570,regulator of G-protein signaling 12-like
106565446,-4.63,2.2E-02,LOC106565446,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial-like"
106565076,1.35,2.3E-02,LOC106565076,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial-like"
106568833,-1.64,2.3E-02,LOC106568833,frizzled-8-like
106601460,1.44,2.4E-02,LOC106601460,serine/threonine-protein kinase SBK1-like
106608090,0.78,2.4E-02,LOC106608090,CLOCK-interacting pacemaker-like
106574392,3.79,2.4E-02,LOC106574392,ladderlectin-like
106588186,0.95,2.5E-02,LOC106588186,uncharacterized LOC106588186
106601241,1.16,2.6E-02,LOC106601241,thyrotroph embryonic factor-like
106576759,-1.94,2.7E-02,LOC106576759,"alpha-2,8-sialyltransferase 8E-like"
106588334,-0.43,3.2E-02,LOC106588334,acidic leucine-rich nuclear phosphoprotein 32 family member E
106605773,0.89,3.4E-02,LOC106605773,hepatic leukemia factor-like
106589320,0.95,3.4E-02,LOC106589320,growth factor receptor-bound protein 7-like
106613963,0.91,3.5E-02,LOC106613963,transcription factor AP-1-like
106565564,1.05,3.5E-02,LOC106565564,inositol hexakisphosphate kinase 2-like
106579093,-1.84,3.7E-02,LOC106579093,squalene monooxygenase-like
106592479,1.99,3.8E-02,LOC106592479,DNA damage-inducible transcript 4 protein-like
106585808,0.78,3.9E-02,LOC106585808,metallo-beta-lactamase domain-containing protein 2-like
106598858,-0.5,4.0E-02,LOC106598858,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like"
